date,precipitation,1hr_max_precipitation,1hr_max_precipitation_time
2022-07-20,0,0,
2022-07-21,13.7,4.2,1:29
2022-07-22,,,
2022-07-23,17.6,13,22:23
2022-07-24,2.3,1.4,9:59
2022-07-25,0.4,0.4,5:20
2022-07-26,,,
2022-07-27,,,
2022-07-28,,,
2022-07-29,,,
2022-07-30,0,0,
2022-07-31,25.6,8.6,17:22
2022-08-01,4.4,1.1,6:24
2022-08-02,1.1,0.7,8:10
2022-08-03,0,0,
2022-08-04,,,
2022-08-05,3.5,2.1,9:03
2022-08-06,,,
2022-08-07,,,
2022-08-08,0,0,
2022-08-09,1.4,0.6,3:31
2022-08-10,192.9,63.3,6:03
2022-08-11,58.2,11.7,10:52
2022-08-12,0.1,0.1,
2022-08-13,24,11.7,22:56
2022-08-14,6.5,3.3,7:13
2022-08-15,7,7,23:01
2022-08-16,32.9,30.2,0:01
2022-08-17,8.2,8.1,14:50
2022-08-18,,,
2022-08-19,0,0,
2022-08-20,83.6,52.7,4:32
2022-08-21,,,
2022-08-22,,,
2022-08-23,30.2,14.9,13:01
2022-08-24,0.2,0.2,
2022-08-25,0,0,
2022-08-26,,,
2022-08-27,,,
2022-08-28,,,
2022-08-29,4.5,2.1,11:28
2022-08-30,30.2,6.2,13:44
2022-08-31,7.2,2.2,3:35
2022-09-01,,,
2022-09-02,,,
2022-09-03,0,0,
2022-09-04,0.1,0.1,
2022-09-05,46.5,8.2,21:50
2022-09-06,41.7,10.5,6:06
2022-09-07,,,
2022-09-08,,,
2022-09-09,,,
2022-09-10,,,
2022-09-11,0,0,
2022-09-12,1.6,0.9,2:45
2022-09-13,0,0,
2022-09-14,0,0,
2022-09-15,,,
2022-09-16,0.3,0.3,21:35
2022-09-17,,,
2022-09-18,,,
2022-09-19,,,
2022-09-20,,,
2022-09-21,,,
2022-09-22,,,
2022-09-23,0,0,
2022-09-24,,,
2022-09-25,,,
2022-09-26,,,
2022-09-27,,,
2022-09-28,,,
2022-09-29,,,
2022-09-30,,,
2022-10-01,,,
2022-10-02,1,0.8,20:21
2022-10-03,26.3,11.2,1:47
2022-10-04,43.5,18.3,4:57
2022-10-05,0,0,
2022-10-06,0,0,
2022-10-07,0,0,
2022-10-08,,,
2022-10-09,17.1,2.8,19:00
2022-10-10,1.4,0.5,13:25
2022-10-11,0,0,
2022-10-12,,,
2022-10-13,,,
2022-10-14,,,
2022-10-15,,,
2022-10-16,,,
2022-10-17,,,
2022-10-18,,,
2022-10-19,,,
2022-10-20,,,
2022-10-21,,,
2022-10-22,0,0,
2022-10-23,,,
2022-10-24,,,
2022-10-25,,,
2022-10-26,,,
2022-10-27,,,
2022-10-28,,,
2022-10-29,,,
2022-10-30,,,
2022-10-31,,,
2022-11-01,,,
2022-11-02,,,
2022-11-03,,,
2022-11-04,,,
2022-11-05,,,
2022-11-06,,,
2022-11-07,,,
2022-11-08,,,
2022-11-09,,,
2022-11-10,,,
2022-11-11,,,
2022-11-12,3.3,,
2022-11-13,2.5,,
2022-11-14,,,
2022-11-15,1.7,,
2022-11-16,1.3,,
2022-11-17,,,
2022-11-18,,,
2022-11-19,,,
2022-11-20,,,
2022-11-21,,,
2022-11-22,0.2,,
2022-11-23,,,
2022-11-24,,,
2022-11-25,,,
2022-11-26,0,,
2022-11-27,,,
2022-11-28,30.1,,
2022-11-29,6.7,,
2022-11-30,0,,
2022-12-01,,,
2022-12-02,,,
2022-12-03,0,,
2022-12-04,,,
2022-12-05,,,
2022-12-06,0.3,,
2022-12-07,,,
2022-12-08,,,
2022-12-09,,,
2022-12-10,0,,
2022-12-11,,,
2022-12-12,0,,
2022-12-13,4.9,,
2022-12-14,0,,
2022-12-15,1.6,,
2022-12-16,,,
2022-12-17,0.9,,
2022-12-18,,,
2022-12-19,,,
2022-12-20,,,
2022-12-21,5.8,,
2022-12-22,1.1,,
2022-12-23,0.1,,
2022-12-24,0,,
2022-12-25,,,
2022-12-26,,,
2022-12-27,,,
2022-12-28,0,,
2022-12-29,,,
2022-12-30,0,,
2022-12-31,0,,
