date,avg_temp,max_temp,max_temp_time,min_temp,min_temp_time,minmax_diff
2022-07-20,27.6,32.7,15:01,22.9,4:28,9.8
2022-07-21,23.8,26.3,17:49,22.7,13:25,3.6
2022-07-22,25.7,30.5,15:59,22.1,6:01,8.4
2022-07-23,24.8,29.1,13:09,21.6,5:29,7.5
2022-07-24,24.7,27.4,13:10,22.1,3:49,5.3
2022-07-25,27.2,32.6,16:13,23.5,6:18,9.1
2022-07-26,28.4,34.2,15:58,22.9,5:20,11.3
2022-07-27,27.6,31.8,15:23,24.5,5:59,7.3
2022-07-28,28.2,33.3,13:49,23.3,5:42,10
2022-07-29,30.3,35,15:16,25.3,5:55,9.7
2022-07-30,28.8,32.5,11:01,26.3,5:50,6.2
2022-07-31,25.9,27.8,0:17,24.7,5:38,3.1
2022-08-01,27.6,32.3,13:23,24.6,1:22,7.7
2022-08-02,27.9,31.7,14:36,25.4,4:53,6.3
2022-08-03,29.3,33.4,15:08,26.5,4:32,6.9
2022-08-04,29.2,34.1,14:43,25.5,4:03,8.6
2022-08-05,28.7,33.3,15:28,25.7,5:06,7.6
2022-08-06,29.9,34.3,15:02,26,6:08,8.3
2022-08-07,29.9,34.3,15:24,27,3:25,7.3
2022-08-08,28.6,29.8,11:56,27.7,2:18,2.1
2022-08-09,28,31.4,16:12,25.1,5:03,6.3
2022-08-10,25.3,28.1,1:34,23.9,23:47,4.2
2022-08-11,24.4,26.2,5:19,24,0:01,2.2
2022-08-12,27.3,32.7,15:17,23.5,6:18,9.2
2022-08-13,26,29.5,11:12,24,5:54,5.5
2022-08-14,26.7,30.4,16:03,24.1,4:43,6.3
2022-08-15,28.1,31.3,15:18,25.4,24:00:00,5.9
2022-08-16,25.8,30,16:09,23.3,0:47,6.7
2022-08-17,25.6,30.4,14:10,22.6,23:23,7.8
2022-08-18,25.1,30.6,15:20,20.3,6:09,10.3
2022-08-19,26.4,29.7,12:50,21.4,5:08,8.3
2022-08-20,27,31.1,16:34,24.9,8:28,6.2
2022-08-21,27.5,32.8,14:34,23.6,5:30,9.2
2022-08-22,27.3,31.7,13:41,23.6,5:45,8.1
2022-08-23,23.8,26,0:04,22.3,23:56,3.7
2022-08-24,22.7,25,16:42,20.6,23:52,4.4
2022-08-25,22.3,28.5,13:55,18.8,19:48,9.7
